Horario;Ativo;TF;Estrategia;Operacao;Status;Preco Entrada;Preco Saida;Resultado;Odd;Estrategias;RSI;MACD_Hist;Tendencia
17/08 13:50:03;EURCAD;M5;V2;VENDER;REAL;1,60721;1,60704;WIN;1,9;Cruzamento-MACD-Baixa, PriceAction(ENGOLFO_BAIXA_RESISTENCIA);59.75;-1e-05;ALTA
17/08 16:00:04;EURCAD;M5;V2;COMPRAR;REAL;1,60567;1,60589;WIN;1,9;Cruzamento-MACD-Alta, PriceAction(ENGOLFO_ALTA_SUPORTE);42.1;1e-05;BAIXA
17/08 22:50:15;XLMUSDT;M5;F_RSI14;COMPRAR;REAL;0,1565;0,15644;LOSS;1,8;RSI14 20.3 < 25 → espelho da fábrica (CALL);;;
17/08 22:55:28;XLMUSDT;M5;F_RSI14;COMPRAR;REAL;0,15644;0,1565;WIN;1,8;RSI14 19.5 < 25 → espelho da fábrica (CALL);;;
17/08 23:00:16;XLMUSDT;M5;F_RSI14;COMPRAR;REAL;0,1565;0,1566;WIN;1,8;RSI14 22.8 < 25 → espelho da fábrica (CALL);;;
17/08 23:15:26;XLMUSDT;M5;F_RSI14;COMPRAR;REAL;0,1563;0,1564;WIN;1,8;RSI14 22.8 < 25 → espelho da fábrica (CALL);;;
17/08 23:30:12;XLMUSDT;M5;F_RSI14;COMPRAR;REAL;0,1561;0,155999;LOSS;1,8;RSI14 22.7 < 25 → espelho da fábrica (CALL);;;
17/08 23:35:23;XLMUSDT;M5;F_RSI14;COMPRAR;REAL;0,155999;0,1561;EMPATE;1,8;RSI14 21.2 < 25 → espelho da fábrica (CALL);;;
17/08 23:45:27;XLMUSDT;M5;F_RSI14;COMPRAR;REAL;0,1552;0,1551;LOSS;1,8;RSI14 16.3 < 25 → espelho da fábrica (CALL);;;
19/08 10:30:06;XLMUSDT;M5;F_RSI14;VENDER;REAL;0,1585;0,1589;LOSS;1,8;RSI14 77.0 > 75 → espelho da fábrica (PUT);;;
19/08 10:35:18;XLMUSDT;M5;F_RSI14;VENDER;REAL;0,1589;0,1583;WIN;1,8;RSI14 80.7 > 75 → espelho da fábrica (PUT);;;
19/08 11:55:04;EURCAD;M5;V2;VENDER;REAL;1,6108;1,611;LOSS;1,9;Cruzamento-MACD-Baixa, PriceAction(ENGOLFO_BAIXA_RESISTENCIA);44.26;-2e-05;LATERAL
19/08 12:00:15;XLMUSDT;M5;F_RSI14;VENDER;REAL;0,1613;0,1628;LOSS;1,8;RSI14 85.3 > 75 → espelho da fábrica (PUT);;;
21/08 18:50:17;XLMUSDT;M5;F_RSI14;VENDER;REAL;0,1977;0,1976;WIN;1,8;RSI14 76.8 > 75 → espelho da fábrica (PUT);;;
21/08 18:55:08;XLMUSDT;M5;F_RSI14;VENDER;REAL;0,1976;0,1979;LOSS;1,8;RSI14 75.7 > 75 → espelho da fábrica (PUT);;;
21/08 19:00:15;XLMUSDT;M5;F_RSI14;VENDER;REAL;0,1979;0,1982;LOSS;1,8;RSI14 76.8 > 75 → espelho da fábrica (PUT);;;
22/08 02:05:08;XLMUSDT;M5;F_RSI14;VENDER;REAL;0,2214;0,222866;LOSS;1,8;RSI14 78.8 > 75 → espelho da fábrica (PUT);;;
22/08 02:10:16;XLMUSDT;M5;F_RSI14;VENDER;REAL;0,222866;0,2003;WIN;1,8;RSI14 81.5 > 75 → espelho da fábrica (PUT);;;
22/08 07:20:08;XLMUSDT;M5;F_RSI14;COMPRAR;REAL;0,195;0,1939;LOSS;1,8;RSI14 24.9 < 25 → espelho da fábrica (CALL);;;
22/08 07:25:27;XLMUSDT;M5;F_RSI14;COMPRAR;REAL;0,1939;0,1968;WIN;1,8;RSI14 23.0 < 25 → espelho da fábrica (CALL);;;
22/08 22:00:05;XLMUSDT;M5;F_RSI14;VENDER;REAL;0,2006;0,199;WIN;1,8;RSI14 75.2 > 75 → espelho da fábrica (PUT);;;
23/08 23:10:14;XLMUSDT;M5;F_RSI14;COMPRAR;REAL;0,1923;0,1939;WIN;1,8;RSI14 25.0 < 25 → espelho da fábrica (CALL);;;
24/08 17:25:19;EURCAD;M5;V2;COMPRAR;REAL;1,61474;1,61477;WIN;1,9;Cruzamento-MACD-Alta, PriceAction(ENGOLFO_ALTA_SUPORTE);47.02;0.0;BAIXA
24/08 23:30:03;XLMUSDT;M5;F_RSI14;VENDER;REAL;0,1999;0,1994;WIN;1,8;RSI14 76.6 > 75 → espelho da fábrica (PUT);;;
25/08 00:55:14;EURCAD;M5;V2;COMPRAR;REAL;1,61524;1,61522;LOSS;1,9;Cruzamento-MACD-Alta, PriceAction(MARTELO_SUPORTE);53.3;1e-05;ALTA
25/08 03:40:05;EURCAD;M5;V2;VENDER;REAL;1,61508;1,61504;WIN;1,9;Cruzamento-MACD-Baixa, PriceAction(ENGOLFO_BAIXA_RESISTENCIA);42.89;-0.0;LATERAL
25/08 04:50:05;XLMUSDT;M5;F_RSI14;COMPRAR;REAL;0,194;0,1943;WIN;1,8;RSI14 25.0 < 25 → espelho da fábrica (CALL);;;
25/08 05:05:09;XLMUSDT;M5;F_RSI14;COMPRAR;REAL;0,1928;0,1932;WIN;1,8;RSI14 22.4 < 25 → espelho da fábrica (CALL);;;
